transaction_id,date,year,month,day,day_of_week,category,product_name,unit_price,quantity,total_amount,discount_percent,discount_amount,final_amount,region,customer_type,payment_method
TXN000963,2023-01-01,2023,1,1,Sunday,Books,Tech Book,56.31,2,112.62,25,28.16,84.46,South,VIP,Credit Card
TXN002429,2023-01-01,2023,1,1,Sunday,Books,Tech Book,55.86,1,55.86,0,0.0,55.86,South,Returning,Debit Card
TXN003823,2023-01-01,2023,1,1,Sunday,Books,Fiction Novel,15.25,1,15.25,0,0.0,15.25,East,New,Cash
TXN008483,2023-01-01,2023,1,1,Sunday,Books,Tech Book,40.65,3,121.95,0,0.0,121.95,East,New,Credit Card
TXN005823,2023-01-01,2023,1,1,Sunday,Books,Tech Book,43.43,1,43.43,5,2.17,41.26,North,VIP,Debit Card
TXN009730,2023-01-01,2023,1,1,Sunday,Sports,Yoga Mat,25.54,2,51.08,0,0.0,51.08,East,New,Credit Card
TXN009093,2023-01-01,2023,1,1,Sunday,Electronics,AirPods Pro,201.12,1,201.12,0,0.0,201.12,South,VIP,PayPal
TXN007241,2023-01-01,2023,1,1,Sunday,Electronics,iPad Air,617.64,2,1235.28,0,0.0,1235.28,South,New,PayPal
TXN001803,2023-01-01,2023,1,1,Sunday,Electronics,iPad Air,723.73,4,2894.92,0,0.0,2894.92,South,Returning,Credit Card
TXN000839,2023-01-01,2023,1,1,Sunday,Sports,Running Shoes,105.2,2,210.4,0,0.0,210.4,West,New,Cash
TXN002981,2023-01-01,2023,1,1,Sunday,Books,Fiction Novel,15.02,1,15.02,0,0.0,15.02,South,VIP,Cash
TXN002105,2023-01-01,2023,1,1,Sunday,Clothing,Dress,108.35,2,216.7,0,0.0,216.7,South,New,Cash
TXN003083,2023-01-01,2023,1,1,Sunday,Sports,Dumbbell Set,58.84,1,58.84,0,0.0,58.84,South,New,Cash
TXN003149,2023-01-02,2023,1,2,Monday,Books,Self-Help,28.35,1,28.35,0,0.0,28.35,North,VIP,Debit Card
TXN000917,2023-01-02,2023,1,2,Monday,Clothing,Dress,73.96,3,221.88,0,0.0,221.88,East,Returning,Debit Card
TXN008072,2023-01-02,2023,1,2,Monday,Sports,Bicycle,535.61,1,535.61,0,0.0,535.61,West,Returning,Cash
TXN002247,2023-01-02,2023,1,2,Monday,Electronics,Apple Watch,404.91,1,404.91,0,0.0,404.91,West,New,Debit Card
TXN007307,2023-01-02,2023,1,2,Monday,Electronics,AirPods Pro,201.73,3,605.19,0,0.0,605.19,South,New,PayPal
TXN006508,2023-01-02,2023,1,2,Monday,Books,Cookbook,22.07,2,44.14,5,2.21,41.93,South,Returning,Bank Transfer
TXN003228,2023-01-02,2023,1,2,Monday,Sports,Dumbbell Set,112.55,1,112.55,0,0.0,112.55,South,VIP,Debit Card
TXN007147,2023-01-02,2023,1,2,Monday,Electronics,MacBook Pro,2349.78,1,2349.78,0,0.0,2349.78,North,Returning,Cash
TXN007977,2023-01-02,2023,1,2,Monday,Books,Cookbook,24.04,1,24.04,0,0.0,24.04,West,New,Cash
TXN005893,2023-01-02,2023,1,2,Monday,Electronics,iPhone 15,1159.96,2,2319.92,0,0.0,2319.92,North,Returning,Cash
TXN008747,2023-01-02,2023,1,2,Monday,Sports,Yoga Mat,37.32,1,37.32,0,0.0,37.32,West,New,Cash
TXN003571,2023-01-02,2023,1,2,Monday,Clothing,Jeans,70.02,2,140.04,0,0.0,140.04,South,VIP,PayPal
TXN006470,2023-01-03,2023,1,3,Tuesday,Home & Garden,Air Purifier,225.56,1,225.56,0,0.0,225.56,South,Returning,PayPal
TXN003082,2023-01-03,2023,1,3,Tuesday,Books,Fiction Novel,16.15,2,32.3,0,0.0,32.3,South,VIP,Debit Card
TXN001556,2023-01-03,2023,1,3,Tuesday,Electronics,AirPods Pro,213.96,2,427.92,0,0.0,427.92,North,VIP,Debit Card
TXN001336,2023-01-03,2023,1,3,Tuesday,Electronics,Apple Watch,460.45,1,460.45,0,0.0,460.45,South,Returning,Cash
